objectid,description,date,creator,title,language,location,citation,subject,Automatic Tags,abstract_note,publication_title,isbn,issn,doi,url,pages,issue,volume,number_of_volumes,publisher,Rights,Type,Archive,Archive Location,Extra,File Attachments,Link Attachments,Column2,Column3,Column4,Column5,Column6,Column7,Column8,Column9,Column10,Column11,Column12,Column13,Column14,Column15,Column16,Column17,Column18,Column19,Column20,Column21,Column22,Column23,Column24
db0380,Journal Article,2020,"Cumba Castro, Erik Alexander",La educación ambiental en los medios televisivos. Estudio de caso: Oromar TV,es,,,journalism; Educación ambiental; Environmental education; medios de comunicación; periodismo; mass media; educomunicación; educommunication; investigación de medios; media research; televisión; TV; TV.,,"Abstract The current research article has the purpose of analyzing environmental education in television media in the province of Manabí. For which, it was decided to take the Oromar TV channel as a case study. This with the objective of measuring the social impact caused by the mass media in regard to the awareness and care of the environment in this province. In addition to examining the production of training content focused on environmental education within the programming of this channel. The methodology that was applied for the investigation is of qualitative type, so that the technique of documentary analysis was used for the revision of the programming of the Oromar TV channel, this was carried out in a sample period of two months. The results obtained show that there are shortcomings in the programming of the Oromar TV channel, due to the scarce productions of educational content. Therefore, it is concluded that, in the absence of an increase in training television programs, and total absence of specialized productions in the area of environmental education in the Oromar TV channel, that could cause a lack of knowledge in the television audience in regard to in matters of prevention and care of the environment in the province of Manabí.",ALTERIDAD. Revista de Educación,,1390-8642,10.17163/alt.v15n1.2020.10,http://scielo.senescyt.gob.ec/scielo.php?script=sci_arttext&pid=S1390-86422020000100125&lang=pt,125-138,1,15,,,,,SciELO Ecuador,,,,,,,,,,,,,,,,,,,,,,,,,,,
db0381,Journal Article,2020,"Palomo-Lovinski, Noël; Faerm, Steven",Changing the Rules of the Game: Sustainable Product Service Systems and Manufacturing in the Fashion Industry,en,,,Sustentabilidade; Sostenibilidad; sustainability; design de moda; diseño de moda; fabricação; fabricación; fashion design; manufacturing; product service systems; sistemas de servicio de productos; sistemas de serviços de produtos; technology.; tecnologia.; tecnología.,,"Abstract The fashion industry is based on a bygone era in which time is linear and place is specific. This lack of relevancy results in global apparel production that is increasingly inefficient and destructive. The harmful practices of fashion manufacturing industry are no longer permissible in an age that has the knowledge capacity and technological innovations to avoid environmental damage and human inequalities. The deleterious manufacturing practices performed in developing countries contribute to the industry being under continued scrutiny, yet intensifying expectations for fast-paced delivery are at the root of these harmful practices. There is a tacit acknowledgement among fashion industry pundits that historical examples of manufacturing and commerce in the United States do not meet the demands of a society accustomed to instant access, constant change, and low prices. These slower and more traditional models of manufacturing and commerce will increasingly impede profitability in the contemporary marketplace as environmental and social issues continue. Thus, the fashion industry is in a state flux. Simultaneously, it must decrease destructive practices within the life cycle of clothing while remaining financially sustainable. This binary relationship elicits key questions that can help direct the industry toward a better future. What are the possibilities of domestic apparel manufacturing that utilizes innovative production methods, communication technology, and service systems that, in turn, encourage holistic, sustainable practices? What are the possibilities for and needs of designers who want to take full advantage of an evolving relationship between consumers and designers? In this study, particular attention is paid to new systems of production and distribution that will change the role of fashion designers for the future.",Cuadernos del Centro de Estudios en Diseño y Comunicación. Ensayos,,1853-3523,10.18682/cdc.vi78.3672,http://www.scielo.org.ar/scielo.php?script=sci_arttext&pid=S1853-35232020000100213&lang=pt,213-226,78,,,,,,SciELO Argentina,,,,http://www.scielo.org.ar/pdf/ccedce/n78/1853-3523-ccedce-78-213.pdf,,,,,,,,,,,,,,,,,,,,,,,
db0382,Journal Article,2006,"Rodríguez Salvá1, Armando; Terry Berro2 <a name=autor></a>, Blanca","Comunicación social, preparativos y mitigación de desastres: visión de futuro",es,,,Comunicación social; environmental health; Social communication; salud ambiental; desastres naturales; educación en salud; epidemiological surveillance; health education; natural disasters; vigilancia epidemiológica,,"Communication for prevention is a complex process requiring actions by professionals and general population as well, where the communication expert is the key. Education is focused not only on the development of immediate measures to be taken after the event but on the work carried out before that time, to consolidate unstable sites and to persuade the population to lower the risk levels that they are willing to accept. Observation of the health effects of a disaster on the populations allows setting intervention areas and defining immediate actions. The use of surveys and the initial evaluation served to identify in a practical way the needs of affected communities; however, the setting up of health surveillance systems and the social communication are the main applications of the epidemiological method in practice. The inter-disciplinary nature of epidemiology makes it possible to go beyond the simple addition of concepts and practices in epidemiological surveillance to provide a comprehensive summary of practices in specific topics such as environmental health, medical services and vector control before, during and after the disaster. The present paper offered a tool for professionals working in cooperation missions so that they can improve the efficiency and quality of their assistance, and thus make a significant change in the life of those persons affected by disasters.",Revista Cubana de Higiene y Epidemiología,,1561-3003,,http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S1561-30032006000200007&lang=pt,,2,44,,,,,SciELO Cuba,,,,http://scielo.sld.cu/pdf/hie/v44n2/hie07206.pdf,,,,,,,,,,,,,,,,,,,,,,,
db0383,Journal Article,2008,"Santiago Rivera, José Armando","La problemática del ambiente, la educación ambiental y el uso didáctico de los medios de comunicación social",es,,,educación ambiental; environmental education; environmental problems; mass media; éducation environnementale; médias; medios de comunicación social; problemática del ambiente; problématique de l’environnement; éducationenvironnementale; mass media.; médias.; problématique de l'environnement,,"The goal of this article is to inform about the role mass media play in communicating environmental problems by exposing socio-environmental developments around the world. The fact that print media, radio and television, circulate this information with extraordinary frequency, makes it very useful as a didactic tools given its current and choking value. Considering the need to promote environmental education, it is worrying that references used to present environmental issues are treated as aids to fix images and content and not to encourage reflexive and critical thinking. This situation prompted a revision of the use of newspapers clips in the classroom in order to evaluate their effectiveness in stimulating students’ analysis of environmental problems. As a result of the review a series of guidelines were introduced to improve the critical understanding of environmental issues. The guidelines were design to take maximum advantage of the data available through the media as didactical tools by exploiting the urgency of action in the environmental struggle.",Investigación y Postgrado,,1316-0087,,http://ve.scielo.org/scielo.php?script=sci_arttext&pid=S1316-00872008000200009&lang=pt,241-270,2,23,,,,,SciELO Venezuela,,,,http://www.scielo.org.ve/pdf/ip/v23n2/art09.pdf,,,,,,,,,,,,,,,,,,,,,,,
db0384,Journal Article,2011,"Badillo Mendoza, Miguel Ezequiel",Estrategia de comunicación y educación mediada por TIC para el fomento del desarrollo sostenible en cinco colegios de Palmira,es,,,Communication; Comunicación; education; educación; TIC; estrategias; strategies,,"The following article presents the progress of a research study titled ""Design of a communication and educational strategy using (Information & Communication Technologies) ICTs to enable youths from five different schools in Palmira to build a discourse aimed at fostering sustainable development."" The methodology consisted of three phases, namely, diagnosis, discourse analysis, and strategy design. This was both a qualitative and a descriptive research study. The sample consisted of 16 school teachers, a group oí 50 students, and another group of 35 students. The study involved conducting an interview, a survey, a workshop based on the use of Facebook as a qualitative research forum, and an analysis of discourse. As a result, this article presents data from phases 1 and 2. It must be noted that there was a lack of inter institutional coordination and academic structure for the work of the (School Environmental Projects) PRAEs in harmony with the environmental education policy. There were also specific impact projects with limited communication and educational strategies. The findings of this study led to the conclusion that it is crucial to implement an environmental education plan and that young people and their current problems can facilitate the creation of TIC-based communication and educational strategies.",Entramado,,1900-3803,,http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S1900-38032011000100009&lang=pt,128-145,1,7,,,,,SciELO Colômbia,,,;,http://www.scielo.org.co/pdf/entra/v7n1/v7n1a09.pdf; http://www.scielo.org.co/pdf/entra/v7n1/v7n1a09.pdf,,,,,,,,,,,,,,,,,,,,,,,
db0385,Journal Article,2011,"Pérez Martínez, Alina",La comunicación sobre la salud en medios digitales cubanos,es,,,Health promotion; public health; medios de comunicación; digital media; communication assessment; communication media; comunicación social; divulgación científica; electronic publications; evaluación de la comunicación; health-specialized journalism; informetría; informetrics; medios digitales; periodismo especializado en salud; press Websites; Promoción de salud; publicaciones electrónicas; publicaciones seriadas; salud pública; scientific diffusion; serial publications; social communication; web periodísticas,,"Introduction The creation of an electronic health journal aimed at the general non-specialized audience requires knowing the previous history of this topic in the national electronic publications. Objective to characterize the dissemination of health information in selected documentes from seven Cuban press websites: Gramma, Juventud Rebelde, Trabajadores , Bohemia, Mujeres, Alma Mater and Somos Jóvenes, all published in April 2009. Methods Descriptive study of multiple cases using documentary research and content analysis techniques under a qualitative perspective. Results The approach to health dissemination was not significant, the contents did not support health promotion strategies and most of them did not relate with the health priorities of the Ministry of Public Health in Cuba. Among those that dealt with priority contents, there were no topics about water, environmental protection and vector control, drug addiction, mental disorders, oral and dental diseases, disability, health at school, occupational health, care of the older adult and others. Just 5.8% of these articles reflected health policies but they were addressed implicitly rather than explicitly from a scientific perspective. The curative approach was predominant. Conclusions Health topics in the studied documentes neither focused on health dissemination nor backed the health promotion strategies and priorities of the Ministry of Public Health.",Revista Cubana de Salud Pública,,0864-3466,,http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S0864-34662011000300010&lang=pt,288-305,3,37,,,,,SciELO Cuba,,,; ;,http://scielo.sld.cu/pdf/rcsp/v37n3/spu10311.pdf; http://www.scielosp.org/pdf/rcsp/v37n3/spu10311.pdf; http://scielo.sld.cu/pdf/rcsp/v37n3/spu10311.pdf,,,,,,,,,,,,,,,,,,,,,,,
db0386,Journal Article,2011,"Cubillas-Tejeda, Ana Cristina; Torres-Nerio, Rocío; Díaz-Barriga Martínez, Fernando; Carrizales-Yáñez, Leticia; Coronado-Salas, Citlalhit; Nieto Caraveo, Luz María; Moreno Sánchez, Ana Rosa; Barraza Lomelí, Laura",Diseño y aplicación de un Programa de Comunicación de Riesgos para la salud ambiental infantil en un sitio contaminado con plomo y arsénico,es,,,Environmental health; Salud ambiental; Exposición a Riesgos Ambientales; Comunicación de Riesgos; Exposure to environmental risks; Risks communication,,"A metallurgical industry in San Luis Potosí city, México, has contaminated the zone by lead (Pb) and arsenic (As). Since 1989 were reported by our group high concentrations of Pb in blood (PbB) and As in urine (AsU) in the local children. In present work, a Risk Communication Program (RCP) was generated to inform the children about the environmental risks of the site where they live, and to change conducts to diminish the exposure to Pb and As. We worked with 170 children (5 to 7 years) of the zone. The RCP was applied and the evaluation was realized by means of analysis of drawings, questionnaires and biological monitoring. In drawings of the children appeared toxic elements such as Pb, contaminated soil, cigarettes, among others. In the questionnaires applied to the children and family parents it was possible to estimate a change in the knowledge and in some conducts with regard to the pollutants, their effects and their exposure. There was not a decrease in the levels of PbB and in the levels of AsU. These were due probably because the principal route of exposure is not only the soil that had been contemplated previously.",Ciência & Saúde Coletiva,,1413-8123,,http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S1413-81232011001100017&lang=pt,4115-4126,10,16,,,,,SciELO Saúde Pública,,,,http://www.scielosp.org/pdf/csc/v16n10/a17v16n10.pdf,,,,,,,,,,,,,,,,,,,,,,,
db0387,Journal Article,2012,"Badillo Mendoza, Miguel Ezequiel",Propuesta de comunicación y educación ambiental a través del Facebook y el uso de narrativas digitales,es,,,Communication; Comunicación; educación ambiental; environmental education; Facebook; comunidades virtuales; digital narratives; entendimento; forças; fraquezas; narrativas digitales; necessidades; Programa de Contabilidade Pública; Teoria de Desenvolvimento a Escala Humana; virtual communities,,"The third phase of the project is presented: the design of a communication and education strategy through the use of ITCs [Information & Computer Technologies] which would make it possible for young people from five secondary schools in Palmira to construct discourses to encourage sustainable development, consistent with the establishment of a communication and education proposal. The work was completed in two phases: a first phase where a pilot exercise was carried out and a second phase where the proposal was designed. To accomplish this, the methodology of investigative workshop was adopted, where a virtual learning community was created in the Facebook social network, and video clips were prepared on the basis of digital narratives. The process developed with an incubator for students at the Institución Educativa Domingo Irurita [Domingo Irurita Educational Institution] in Palmira. The results are described as being the pilot project that served as the basis for the proposal, and its design is presented, based on a strategy model proposed by UNESCO for communication and education for sustainable development. It is concluded that these kinds of ICT-based learning strategies are effective and generate a broad dynamic of learning in the students by revitalizing the educational process and opening up new possibilities for environmental education based on autonomous learning.",Entramado,,1900-3803,,http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S1900-38032012000100009&lang=pt,128-139,1,8,,,,,SciELO Colômbia,,,,http://www.scielo.org.co/pdf/entra/v8n1/v8n1a09.pdf,,,,,,,,,,,,,,,,,,,,,,,
db0388,Journal Article,2012,"CORONADO-SALAS, Citlalhit; DÍAZ-BARRIGA, Fernando; MORENO-SÁNCHEZ, Ana Rosa; CARRIZALES-YÁÑEZ, Leticia; TORRES-NERIO, Rocío; RENTERÍA-GUZMÁN, Yei Jazmín; CUBILLAS-TEJEDA, Ana Cristina","La comunicación de riesgos como una herramienta para disminuir la exposición infantil a plomo y arsénico en la zona contaminada de Villa de la Paz-Matehuala, San Luis Potosí, México",es,,,environmental health; salud ambiental; exposición a riesgos ambientales; comunicación de riesgos; exposure to environmental risks; risks communication,,"A risk communication program (RC) focused on children exposed to Pb and As in the mining area of Villa de la Paz-Matehuala, was designed, implemented and evaluated. The RC program was designed and applied to 142 children (5 to 12 years) of the mining area. The evaluation was done by using drawings, questionnaires and biological monitoring of lead in blood (PbB) and urinary arsenic (AsU). The drawings and questionnaires applied to the children and their parents showed learning and change in perception of risk and behavior with regard to contamination. There was a statistical significant decrease in the levels of PbB in most children (p < 0.001), but not in levels of AsU. The program partially reduced Pb exposure change and the people's perception to contamination was changed. This work establishes basis for using this kind of programs in contaminated sites.",Revista Internacional de Contaminación Ambiental,,0188-4999,,http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S0188-49992012000200008&lang=pt,167-181,2,28,,,,,SciELO México,,,,http://www.scielo.org.mx/pdf/rica/v28n2/v28n2a8.pdf,,,,,,,,,,,,,,,,,,,,,,,
db0389,Journal Article,2012,"Fernández Cruz, Sara; Pupo Osorio, Carlos Alberto; Madariaga Fernández, Carlos Jesús","La comunicación educativa, herramienta de gestión ambiental y vía para disminuir enfermedades de transmisión hídrica",es,,,environmental management; gestión ambiental; comunicación educativa; educational communication; enfermedades de transmisión hídrica; water transmitted diseases,,"With the aim to contribute to the environmental management of underground waters, to raise the level of knowledge and awareness on the wise use and management of this natural resource, to diminish the incidence of water transmitted diseases and to improve the life quality of people, is presented a design and implementation of an educational communication strategy addressed to the people from Pueblo Nuevo Popular Council at Holguín city, Cuba. This problem was identified in investigations carried out previously and it was corroborated through a diagnosis carried out in 2009 base on a period of analysis from 2006, on the base of observations, surveys and interviews, in those that was pointed out, a wrong management of the waters due to the lack of population's awareness, and the serious consequences that this brings for health and the environment. The implementation was carried out from 2010 to 2011 and after the evaluation; a positive responsible behaviour and a decrease of water transmitted diseases were observed in the population of this Popular Council.",ACIMED,,1024-9435,,http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S1024-94352012000300005&lang=pt,263-278,3,23,,,,,SciELO Cuba,,,,http://scielo.sld.cu/pdf/aci/v23n3/aci05212.pdf,,,,,,,,,,,,,,,,,,,,,,,
db0390,Journal Article,2012,"ESCOBAR MORENO, NELCY ROCÍO",LAS COMUNICACIONES INTEGRADAS DE MARKETING (CIM) COMO PILAR DE LA ESTRATEGIA DE MARKETING VERDE Y SUS IMPLICACIONES EN LA GESTIÓN AMBIENTAL,es,,,Environmental management; Gestão ambiental; Marketing verde; Comunicação verde; Comunicación verde; Comunicaciones integradas de marketing; Comunicações integradas de marketing; Consumidor verde; Gestión ambiental; Green communication; Green consumer; Green marketing; Integrated marketing communications,,"This document presents the structure of Integrated Marketing Communications, since its definition up to its application from green marketing approach in organizational strategy. The paper presents three major discussions, first, a particular reflection on contributions and most important implications of Integrated Marketing Communications and each one of its instruments to corporation's environmental management strategy. Then, it presents a general characterization of green consumer and other corporation's stakeholders, particularly, on its role during green communication strategic process. Finally, as a conclusion of this paper, there are some considerations on the necessary implementation of this concept in the current proposal of organizational environmental management.",Revista Facultad de Ciencias Económicas: Investigación y Reflexión,,0121-6805,,http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S0121-68052012000200005&lang=pt,69-79,2,20,,,,,SciELO Colômbia,,,;,http://www.scielo.org.co/pdf/rfce/v20n2/v20n2a05.pdf; http://www.scielo.org.co/pdf/rfce/v20n2/v20n2a05.pdf,,,,,,,,,,,,,,,,,,,,,,,
db0391,Journal Article,2012,"González Gaudiano, Édgar J.",La representación social del cambio climático: una revisión internacional,es,,,Environment; social representation; Medio ambiente; educación ambiental; environmental education; environment; medio ambiente; percepción; perception; educación y comunicación; education and communication; representación social; educación ambiental.; environmental education.,,"The phenomenon of climatic change has attained unexpected relevance in the international setting. Its emergence has reactivated environmental policy as a whole, and environmental education for sustainability in particular. As in other emerging fields, a proliferation of research has arisen from diverse theoretical and methodological approximations. The current review of the international production of studies, in English, Spanish, and Portuguese, of the perception and social representation of the phenomenon attempts to provide a referential framework for formulating new questions. The objective is to identify erroneous beliefs, cognitive dissonance, confusion, doubts, obscure zones, and the reasons for the reduced willingness to act and assume personal and collective responsibility for the phenomenon. Lifestyles based on an unsustainable energy model must be transformed.",Revista Mexicana de Investigación Educativa,,1405-6666,,http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S1405-66662012000400003&lang=pt,1035-1062,55,17,,,,,SciELO México,,,,http://www.scielo.org.mx/pdf/rmie/v17n55/v17n55a3.pdf,,,,,,,,,,,,,,,,,,,,,,,
db0392,Journal Article,2013,"VALLEJOS-ROMERO, Arturo; OÑATE ÑANCUCHEO, Marcela",Comunicación de riesgos ecológicos: el caso de la contaminación atmosférica en dos ciudades intermedias del sur de Chile,es,,,information; environmental problems; percepción; perception; gestión; management; información; intervención; intervention; problemas socioambientales,,"Socio-environmental risks are associated to accelerated modernization and industrialization, where the population has been affected by its consequences. In this case, the risks associated to air contamination are closely tied to basal operations of modern society, to human action, to our daily activities, and to an administration thereof habitually mediated by governmental institutions that are supposed to ""visibilize"" the risk and manage actions designed to minimize their occurrence. This article explores the manner in which, and the consequences of, a communication of risks to the community faced with atmospheric contamination, stemming from a study of two cities of intermediate size in the south of Chile. Methodologically, interviews and focus groups were used; secondary information was analyzed, and a content analysis was applied via Atlas.ti software which, under a comparative approach, permitted us to observe the instruments and strategies in the process of ""visibilization"" and ""comprehension"" of risk.",Revista Internacional de Contaminación Ambiental,,0188-4999,,http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S0188-49992013000100006&lang=pt,59-75,1,29,,,,,SciELO México,,,,http://www.scielo.org.mx/pdf/rica/v29n1/v29n1a6.pdf,,,,,,,,,,,,,,,,,,,,,,,
db0393,Journal Article,2013,"Elbirt, Ana Laura","Comunicación para el Cambio Social y educación ambiental. Reflexiones para la construcción colectiva del desarrollo a partir de un estudio de caso en Salta, Argentina",es,,,Communication; Comunicación; environment; education; medio ambiente; educación; desarrollo; Communications; development; développement; éducation; environnement,,"In this article we present reflections about the contributions of environmental education as a space for political formation necessary to the current socio-environmental conflicts. So we expose historical perspective of the different conceptions of development, since economic notions to the current on the central place of participation and the construction of citizenship as a condition for local development. Theoretical reflections are made on the basis of a case study in the capital of the province of Salta. This study focused on the analysis of the first public politic for differentiated collection of the domestic waste in the city. We worked with the following subjects: participative projects planning, social capital, role of communicator and the media as promoters of development.",Punto Cero,,1815-0276,,http://www.scielo.org.bo/scielo.php?script=sci_arttext&pid=S1815-02762013000100008&lang=pt,65-72,26,18,,,,,SciELO Bolívia,,,,http://www.scielo.org.bo/pdf/rpc/v18n26/v18n26a08.pdf,,,,,,,,,,,,,,,,,,,,,,,
db0394,Journal Article,2014,"Hidalgo Villodres, María del Carmen; Casado Castro, Fernando; García-Leiva, Patricia",Communicating climate change: improving the effectiveness of public campaigns,en,,,environmental communication; climate change; comunicación ambiental; cambio climático; actitud proambiental; behavioral intention; intención de conducta; pro-environmental attitude,,"Research on climate change highlights the need to develop more effective campaigns to increase citizens' awareness of this issue, increase their willingness to accept the measures necessary to halt this phenomenon and change their behaviour. This paper describes a study which analyzed the effectiveness of an advertising message that combined informative and motivational variables on pro-environmental attitudes and intended behaviour. The study sample consisted of 180 university students, divided into two equivalent groups. The results supported the initial hypothesis,the participants in the group that received specific behaviour guidelines (to increase perceived control) together with information on economic savings (motivational variable) displayed more changes in self-efficacy, pro-environmental attitudes and intention of behaviour than the group that did not receive this information.",Escritos de Psicología (Internet),,1989-3809,10.5231/psy.writ.2014.2603,http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S1989-38092014000200004&lang=pt,28-35,2,7,,,,,SciELO Espanha,,,,,,,,,,,,,,,,,,,,,,,,,,,
db0395,Journal Article,2014,"Cid, Carmen Patricia Andrade Del",La información ambiental en el espacio público de la prensa impresa: Un estudio longitudinal sobre su referente,es,,,Medio Ambiente; Environmental Information; Environmental News; Información Ambiental; Información Pública; Medios Impresos; Prensa; Print Media; Public Information,,"Given the importance of information relevant to the environment, this study aims to analyze two periods of public use of enviromental information: 2012 and 2013. The first endeavour looks at information from the media on environmental issues and how it influences social thinking and critical reflection according to Agenda 21 (UN, 1992). The second analysis describes the theoretical support of the scope of the information broadcasted by the media considering two posible scenarios of the use of public space: 1) as citizen’s custody 2) as institutional support of political power. The proposition holds that the 80 years and more of the ruling of the Institutional Revolutionary Party in Veracruz, has left its mark on the dissimination of information about politics, and wonders what happens in the public arena of environmental information. The study provides the results of a comparison of the performance of the regional presses on environmental issues in 2012 and 2103. The final discussion reflects on the important role of the media in the construction of reality, and therefore the journalist as the first subject to be involved in profound changes in lifestyle, social organization, forms of thought, knowledge and ethics.",Observatorio (OBS*),,1646-5954,,http://www.scielo.pt/scielo.php?script=sci_arttext&pid=S1646-59542014000400010&lang=pt,151-170,4,8,,,,,SciELO Portugal,,,;,http://www.scielo.mec.pt/pdf/obs/v8n4/v8n4a10.pdf; http://www.scielo.mec.pt/pdf/obs/v8n4/v8n4a10.pdf,,,,,,,,,,,,,,,,,,,,,,,
db0396,Journal Article,2013,"Herath, Chaminda S; Wijekoon, Rusitha",Study on attitudes and perceptions of organic and non-organic coconut growers towards organic coconut farming,en,,,sostenibilidad; perception; agricultura ecológica; attitude; extensión agrícola; organic farming,,"Organic farming is gaining popularity all over the world, as it can diversify agricultural production systems towards attaining improved productivity, farm income and food, as well as environmental safety. Despite the global awareness of environmental degradation and climatic change that could result from the continuous practice of inorganic farming, many coconut growers in Sri Lanka are still producing coconut inorganically. Coconut growers' attitudes and perceptions are the major factors that lead to the adoption of organic farming. Therefore, the aim of this study was to determine the important influencing factors for adoption of organic coconut farming. The theoretical framework for the study was developed based on the Theory of Planned Behavior. The data were collected from 102 organic growers and 76 non-organic growers. The results showed that non-organic growers did not have strong motivation to practice organic farming as they were of the view that yields are low, even though organic coconuts have a slightly higher price. Furthermore, they were reluctant to shift from chemical fertilizers and pesticides as they have been using them for a long period of time. Conversely, organic growers practice organic farming mainly because of the marketing assistance and inputs such as organic fertilizer and technical knowledge provided by the Serandipol Company, and also their favorable attitudes towards the environment. Knowledge about organic farming and extension worker contacts greatly influence motivation towards adopting organic farming. Therefore, participatory extension programs and better extension approaches such as farmer field schools could be used to change the attitude, knowledge and skills of growers towards organic farming. Further involvement of a third party such as the government, an NGO or a private company to assist organic growers would also increase the adoptability rate of organic farming.",Idesia (Arica),,0718-3429,,http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0718-34292013000200002&lang=pt,5-14,2,31,,,,,SciELO Chile,,,,http://www.scielo.cl/pdf/idesia/v31n2/art02.pdf,,,,,,,,,,,,,,,,,,,,,,,
db0397,Journal Article,2018,"González Alvarado, Tania Elena; Martín Granados, María Antonieta",Redes de cooperación empresaria internacionales en el sector ambiental y cooperación triangular,es,,,cooperação para o desenvolvimento; cooperación para el desarrollo internacional; international cooperation and development; MPE; multi-enterprise tie; PYME; SMEs; vínculo multiempresa,,"ABSTRACT The aim of this paper is to analyze the environmental enterprises behavior in the international business cooperation network. 130 environmental companies that had participated in business meetings Al-Invest from different countries were analyzed. The main finding was that the environmental enterprise seeks for representation agreements (32.58 °/o) and production companies (31.82 %). Besides, other findings were that knowledge transfer, product offerings and marketing achieve the same percentage (25 %). The established conclusion was that cooperation between the environmental companies reflect the North-South-South cooperation, with the latter facilitated by triangular cooperation.",Revista Universidad y Empresa,,0124-4639,10.12804/revistas.urosario.edu.co/empresa/a.5307,http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S0124-46392018000200051&lang=pt,51-77,35,20,,,,,SciELO Colômbia,,,,http://www.scielo.org.co/pdf/unem/v20n35/0124-4639-unem-20-35-51.pdf,,,,,,,,,,,,,,,,,,,,,,,
db0398,Journal Article,2019,"Aldana Zavala, Julio Juvenal; Ysea, Félix Colina",MARKETING VERDE EN LA CONFORMACIÓN DE UNA CIUDADANÍA PLANETARIA EN EL ÁMBITO EDUCATIVO LATINOAMERICANO,es,,,Environmental education; educación ambiental; environmental ethics; ética ambiental; Civic education; Ecología humana; educación cívica; Human ecology; investigación centrada en un problema; Problem focused research,,"Abstract The article of revision its objective was to analyze the contribution of green marketing in the formation of a planetary citizenship in the Latin American educational environment. A methodology was used of documentary type with a bibliographic design; a content analysis was applied in order to discover the implicit competences in the information analyzed. Among the main conclusions is that green marketing offers education the possibility of building competences in the student in favor of configuring a global thinking, which should be encouraged from an education Latin American planetary green for the global context.",Revista San Gregorio,,2528-7907,,http://scielo.senescyt.gob.ec/scielo.php?script=sci_arttext&pid=S2528-79072019000400150&lang=pt,150-161,31,1,,,,,SciELO Ecuador,,,,,,,,,,,,,,,,,,,,,,,,,,,
db0399,Journal Article,2021,"Ferraris, Guillermina; Paleologos, María Fernanda; Pérez, Maximiliano; Wainer, Ezequiel","Aporte a la política pública de promoción de la agroecología desde la Biofábrica Escuela en el área hortícola del Gran La Plata, Argentina",es,,,agricultura familiar; agroecologia; agroecología; agroecology; biopreparados; biopreparations; extensão da faculdade; extensión universitaria; family agriculture; horticultura; horticulture; university extension,,"Abstract  The environmental impact of agricultural production is a recurring concern in different spaces. Public institutions linked to the agricultural sector have taken the issue differently according to various aspects such as: the production model that is promoted or defended, the macroeconomic objectives, the pressures of multinationals and the concentrated producer sector, the demands of local communities, among other. For the last 15 years in Argentina this concern is reflected in the creation of different public agencies that promote Agroecology as an environmentally sustainable and socially fair production, marketing and consumption model. The Faculty of Agricultural and Forest Sciences of the National University of La Plata created the Biofactory School in order to contribute to the process of agroecological transition through the joint construction of knowledge for the elaboration and use of biopreparations. This paper reflects on the challenges generated by the implementation of this initiative, the strategic alliances with dependencies of the provincial public administration and with organizations of the producer sector.",Revista de extensión universitaria,,2346-9986,10.14409/extension.2021.15.jul-dic.e0002,http://www.scielo.org.ar/scielo.php?script=sci_arttext&pid=S2346-99862021000200024&lang=pt,24-24,15,,,,,,SciELO Argentina,,,,http://www.scielo.org.ar/pdf/rexun/n15/2346-9986-rexun-15-e0024.pdf,,,,,,,,,,,,,,,,,,,,,,,
db0400,Journal Article,2022,"Roger-Monzó, Vanessa",Green shooting: Análisis del discurso en la prensa de la producción audiovisual sostenible en España (2015-2019),es,,,sustainability; sustentabilidade; sostenibilidad; objetivos de desarrollo sostenible; sustainable development goals; audiovisual; green filming; Green filming; green shooting; Green shooting; objetivos de desenvolvimento sustentável,,"Abstract: The aim of this study is to analyze the treatment made by the press on sustainable audiovisual production in Spain. We conducted a quantitative and textual analysis of the news that appeared in national media and in Spanish on sustainable productions between 2015 and 2019. 108 news are obtained. The analysis of the linguistic corpus was made using textual analysis software. The results suggest that the main topics addressed are mainly linked to proposals to reduce the environmental impact of these productions, the celebration of sustainable film festivals, the use of audiovisual works to educate on ecological values, and the dissemination of sustainable trends in the audiovisual sector at European level.",Cuadernos.info,,0719-367X,10.7764/cdi.51.27751,http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0719-367X2022000100010&lang=pt,175-199,51,,,,,,SciELO Chile,,,,http://www.scielo.cl/pdf/cinfo/n51/0719-367X-cinfo-51-175.pdf,,,,,,,,,,,,,,,,,,,,,,,
